#nexus

BEGIN TAXA;
  DIMENSIONS ntax=5;
  TAXLABELS
    Papiamento
    Palenquero
    Cavite-Chabacano
    Ternate-Chabacano
    Zamboanga-Chabacano
  ;
END;

BEGIN CHARACTERS;
  DIMENSIONS nchar=207;
  FORMAT
    datatype=STANDARD
    missing=?
    gap=-
    symbols="12345678"
    labels=no
    transpose=yes
    interleave=no
  ;
  MATRIX
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	4	4	4
4	1	1	1	1
1	1	1	1	1
4	?	?	?	?
1	1	1	7	7
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
1	6	1	1	1
1	1	?	1	1
1	1	1	1	1
1	1	1	1	1
1	?	1	1	?
4	1	4	4	4
1	6	1	1	7
1	1	1	7	1
1	1	1	1	1
1	1	1	1	1
1	?	1	-	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	7	7	?
1	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	?	1	1	1
4	?	1	7	7
5	?	1	7	1
1	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
4	1	1	1	1
1	1	1	1	1
4	?	1	1	1
6	6	6	6	6
1	?	?	1	?
1	?	1	?	1
1	1	1	1	1
4	1	1	1	1
1	?	1	1	?
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
5	?	?	7	?
1	?	?	?	?
1	1	1	1	1
1	?	1	1	1
1	?	?	?	?
1	1	1	1	1
1	1	?	7	1
1	1	1	1	?
5	?	1	?	?
1	1	1	1	1
1	-	1	1	1
1	1	1	1	1
4	1	1	1	1
1	?	1	1	1
1	1	1	1	1
1	1	1	?	1
1	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
4	1	1	1	1
1	?	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	7
1	1	4	1	4
5	?	1	1	1
1	1	1	1	1
4	1	1	1	1
5	?	1	1	1
1	1	1	1	1
4	4	4	4	4
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	?	1	7	1
1	1	1	1	1
4	?	1	1	1
-	1	1	7	1
1	1	1	1	1
5	-	?	1	-
1	1	1	1	1
1	1	1	7	1
1	1	1	1	1
4	?	1	1	?
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	7
1	1	1	1	1
1	1	1	1	1
1	?	1	1	1
5	1	1	1	?
1	1	1	1	1
5	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
8	1	1	7	8
1	1	1	1	7
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
1	?	1	1	1
1	?	7	7	1
4	?	1	7	7
4	?	1	1	1
4	?	?	7	7
1	1	1	1	1
5	?	1	1	1
1	1	1	1	1
1	?	1	1	1
1	?	1	1	1
1	1	1	1	1
1	1	1	1	1
1	?	1	1	1
5	?	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	4	4	4
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	-	1	1	-
1	1	1	1	1
1	?	1	1	1
4	?	1	1	1
1	1	1	1	1
5	?	1	1	?
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	?	1	1	?
1	?	?	?	7
1	1	1	1	1
1	6	1	1	1
1	1	1	1	1
1	1	1	1	1
5	?	1	1	1
1	?	1	1	1
1	1	1	1	1
1	?	1	1	1
1	?	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
6	6	1	1	7
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	?
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	7	7	7
1	1	1	1	1
4	1	1	1	1
1	?	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	1
1	1	1	1	-
1	?	1	1	1
4	1	1	1	1
4	1	1	1	1
1	1	1	1	1
1	1	1	1	1
4	1	1	1	1
1	?	1	1	1
1	1	1	1	1
1	?	1	1	1
1	1	1	1	1
4	1	1	1	1
4	4	1	1	1
1	1	1	1	1
4	-	7	7	1
1	1	1	1	1
5	1	1	1	1
1	6	1	-	7
4	4	1	1	4
  ;
END;
